Common or trade name,Chemical formula,CAS No.,AR5 GWP (100 year), Rotatable Bond Count,Defined Bond Stereocenter Count ,m/z 2nd Highest,Complexity,XLogP3-AA,Hydrogen Bond Acceptor Count,Bond dissociation energy (eV),B.p(C),Molecular Weight (g/mol),Exact Mass (g/mol),Monoisotopic Mass (g/mol),Heavy Atom Count,Undefined Atom Stereocenter Count ,1H NMR Spectra,13C NMR Spectra,17O NMR Spectra,19F NMR Spectra,Total Peaks,m/z Top Peaks,m/z 3nd Highest
HCFC-21,CHCl2F,75-43-4,148,-6.97E-11,5.97E-12,69.00000001,13.5,2,1,6.295762418,8.899999999,102.92,101.9439336,101.9439336,4,6.14E-12,7.45,104,50.26177008,3.16E-09,35,67,47.00000001
"HFO-1336mzz-Z (R1336mzz-Z) (DR-2), (Z)-1,1,1,4,4,4-HEXAFLUORO-2-BUTENE",CF3CH=CHCF3(Z),692-49-9,158,3.43E-12,1,158.54592,110,2.7,6,6.698752368,9,164.05,164.006069,164.006069,10,4.37E-12,12.04311596,164.5790002,42.71722061,-61.5,20.16009076,69,-40.59269126
"R-234ca, 1,3-Dichloro-1,2,2,3-tetrafluoropropane",C3H2F4Cl2,70341-81-0,199,2,1.38E-11,326.5540932,85.8,3.1,4,6.510848126,24.36,184.94,183.9469681,183.9469681,9,2,0.271611938,146.637126,33.77155955,-257.8247682,79.88523579,116.0654264,397.4577993
Halon 1202,CBr2F2,75–61–6,231,2.05E-10,-2.26E-10,131,30.6,2.6,2,6.29118274,24.50000001,209.82,209.83143,207.83348,5,8.72E-11,21.56103706,90.49999998,25.8865618,6.500000003,35.99999999,129,210
"R-245ea, 1,1,2,3,3-Pentafluoropropane",C3H3F5,24270-66-4,235,2,-1.38E-12,-22.93165722,52.7,2.3,5,6.608321144,30.661,134.05,134.0154909,134.0154909,8,2.42E-12,4.509380871,66.75272534,35.3160554,-184.5183156,27.94491523,25.27073899,83.16838744
"R-234ba, 1,2-Dichloro-1,2,3,3-tetrafluoropropane",C3H2F4Cl2,425-94-5,260,2,1.50E-11,325.8179448,97.8,3.1,4,6.489336576,24.36,184.94,183.9469681,183.9469681,9,2,0.693593342,194.822475,35.56060313,-240.7590681,74.05940858,86.42904139,396.0579409
"R-338eea, 1,1,1,2,3,4,4,4-OCTAFLUOROBUTANE (HFC-338mee)",C4H2F8,75995-72-1,279,1,3.50E-12,193.4431974,124,3.3,8,6.622642504,33,202.05,202.0028754,202.0028754,12,2,1.988454573,62.86643604,33.9615329,-77,54.5588678,116.6737704,260.8807029
HFE-245fa1,CHF2CH2OCF3,84011–15–4,286,2,-3.03E-13,22.33552375,76.8,2.1,6,6.766981293,26,150.05,150.0104055,150.0104055,9,1.62E-13,5.141663377,63.08980163,33.99461192,-126.3400281,20.69283425,86.40428214,65.21440123
"HFC-245eb, R-245eb, 1,1,1,2,3-PENTAFLUOROPROPANE",CH2FCHFCF3,431–31–2,290,1,-1.02E-12,174.0880974,64.6,2.1,5,6.62213365,23,134.05,134.0154909,134.0154909,8,1,3.098152561,123,34.91953497,-200.6343577,42.60265133,102.7122451,155.9666888
"R-234ab, 2,2-Dichloro-1,1,1,3-tetrafluoropropane",C3H2F4Cl2,149329-24-8,291,1,1.15E-11,204.2625789,96.5,2.8,4,6.63406721,24.36,184.94,183.9469681,183.9469681,9,-1.54E-11,5.947480687,127.808815,42.12862516,63.87133973,77.62966594,159.6852462,2.252640667
"R-133, 1-chloro-1,2,2-trifluoro-ethane",C2H2F3Cl,431-07-2,298,1,-3.74E-12,106.5848124,37.8,2.2,3,6.551936402,14.63,118.48,117.9797122,117.9797122,6,1,1.934513489,33.10841263,39.84815158,-131,26.02032093,16.61489495,165.1795514
"R-244da, 2-Chloro-1,1,3,3-tetrafluoropropane",C3H3F4Cl,19041-02-2,313,2,1.48E-12,25.67205584,56.3,2.6,4,6.694156784,11.95,150.5,149.9859404,149.9859404,8,8.19E-14,3.153435509,63.18329996,34.33589527,-148.886908,58.71549099,70.01446008,132.2021666
"R-254pc, 1,1,2,2-Tetrafluoroethyl methyl ether (HFE-254cb1)",C3H4F4O,425-88-7,333,2,-5.42E-12,82,71.7,1.7,5,6.690235621,36,132.06,132.0198274,132.0198274,8,-2.36E-12,4.78931039,119.5,34,-175.7021586,20.47265157,81,60.22590317
"HFE-347mmy1, R-347mmy, HEPTAFLUOROISOPROPYL METHYL ETHER",CH3OCF(CF3)2,22052–84–2,343,1,-1.11E-11,68.99999999,142,2.6,8,6.581595467,29,200.05,200.0072119,200.0072119,12,-2.48E-11,16.69549677,882.8673165,37.53419305,-81,23,14.99999999,131
"HFC-143, R-143, 1,1,2-TRIFLUOROETHANE",C2H3F3,430–66–0,353,1,1.94E-11,45.00000001,18.9,1.4,3,6.677480277,5.000000002,84.04,84.01868458,84.01868458,5,-1.47E-11,1.503300511,-85.71212957,36.98580638,-130,26,51,33.00000001
HFE-254cb2,CH3OCF2CHF2,425–88–7,359,2,-4.55E-12,82,71.7,1.7,5,6.685217839,36,132.06,132.0198274,132.0198274,8,-3.30E-12,4.795202693,119.5,34,-176.1219653,20.5055142,81,60.68745134
